ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,binary
100,0.0234375,0.375,16.0,46800,78500,1951,0.285,0.82,0.02,0.157,0.009000000000000001,0.046,0.032,0.001,0.001,0.016,0.019,0.002,0.001,0.001,0.006,0
101,0.0234375,0.375,16.0,46800,71500,1951,0.27899999999999997,0.74,0.025,0.027999999999999997,0.009000000000000001,0.001,0.024,0.0,0.001,0.015,0.017,0.002,0.006999999999999999,0.001,0.006,0
102,0.0234375,0.375,16.0,47600,78000,1951,0.267,0.82,0.018000000000000002,0.161,0.008,0.054000000000000006,0.031,0.001,0.001,0.015,0.018000000000000002,0.002,0.001,0.001,0.006,0
103,0.0234375,0.375,16.0,48300,78500,1951,0.267,0.82,0.018000000000000002,0.161,0.008,0.054000000000000006,0.031,0.001,0.001,0.015,0.018000000000000002,0.002,0.001,0.001,0.006,0
104,0.0234375,0.375,16.0,48500,79000,1951,0.27699999999999997,1.09,0.035,0.040999999999999995,0.013000000000000001,0.006,0.022000000000000002,0.0,0.002,0.011000000000000001,0.017,0.002,0.006,0.002,0.006,0
105,0.0234375,0.375,16.0,48600,68000,2008,0.163,1.02,0.006999999999999999,0.215,0.006999999999999999,0.026000000000000002,0.033,0.004,0.001,0.012,0.033,0.011000000000000001,0.002,0.001,0.001,0
106,0.0234375,0.375,16.0,48800,78000,1951,0.259,1.05,0.02,0.040999999999999995,0.01,0.008,0.021,0.0,0.001,0.011000000000000001,0.013999999999999999,0.001,0.004,0.001,0.005,0
107,0.0234375,0.375,16.0,49300,79000,1951,0.27699999999999997,1.09,0.035,0.040999999999999995,0.013000000000000001,0.006,0.022000000000000002,0.0,0.002,0.011000000000000001,0.017,0.002,0.006,0.002,0.006,0
108,0.0234375,0.375,16.0,49800,68500,2008,0.151,1.03,0.006,0.225,0.006,0.031,0.031,0.004,0.001,0.011000000000000001,0.027000000000000003,0.009000000000000001,0.002,0.001,0.001,0
109,0.0234375,0.375,16.0,50000,74500,1951,0.24,1.04,0.024,0.04,0.011000000000000001,0.009000000000000001,0.021,0.0,0.002,0.011000000000000001,0.015,0.002,0.005,0.001,0.005,0
110,0.0234375,0.375,16.0,50000,79000,1951,0.251,1.04,0.024,0.04,0.01,0.008,0.021,0.0,0.001,0.011000000000000001,0.015,0.001,0.005,0.001,0.005,0
111,0.0234375,0.375,16.0,51000,80500,1951,0.251,1.04,0.024,0.04,0.01,0.008,0.021,0.0,0.001,0.011000000000000001,0.015,0.001,0.005,0.001,0.005,0
